feature,mean_abs_shap
Close,4.367894483388858
High,1.89186405311259
Open,1.115117469092672
Low,0.3372620208503667
GDX_Open,0.25679929071618657
GDX_Low,0.2454194841828456
SP_high,0.21197659902794413
SF_Price,0.08065233485643251
PLT_Price,0.03059029150378817
GDX_Close,0.014516778768495256
EG_Ajclose,0.011829421427823237
RHO_PRICE,0.01047838092774393
USDI_High,0.010443232521529833
SP_low,0.009867912041124798
OF_Price,0.008126651372096054
USB_Low,0.007543661465016501
PLT_Open,0.00743776095929983
PLT_Trend,0.0072233619246372185
EG_volume,0.0068151432229569256
USDI_Price,0.006746623978134324
PLD_Price,0.006727518111236706
EG_open,0.006309212862059334
SP_open,0.005709595717200847
OF_Volume,0.0051140800372575625
GDX_Volume,0.005017195450243205
OS_Low,0.004883921423623892
GDX_Adj Close,0.004726300239563139
PLD_Open,0.004496753271235972
EG_high,0.004159027957177164
EG_close,0.0038866810835612863
SF_Volume,0.003818475405375291
SP_volume,0.003556845243587303
OF_High,0.0034573268890380803
USDI_Open,0.003399696904559171
OS_Price,0.003249616659889145
DJ_low,0.0031718840709950512
DJ_open,0.002969918177109843
OS_Open,0.0029209373533267296
USB_Price,0.0028266804347664475
SP_Ajclose,0.002673635778500896
SF_High,0.0026255083453745687
USB_High,0.002524861254433353
SF_Trend,0.0025143930523898153
Volume,0.00246594018714394
PLD_High,0.0020586834027782595
USDI_Low,0.0020251909522124205
USO_Volume,0.0018675243392472876
USDI_Volume,0.0018652682341346535
SF_Open,0.001803405857825463
EU_low,0.001736596795015304
PLT_High,0.001706367795781728
SF_Low,0.001665048414422692
DJ_volume,0.0016489979278211428
GDX_High,0.001610614236934855
USB_Open,0.0015107036191362411
SP_close,0.0014736742566722272
OF_Low,0.001461045058198713
PLT_Low,0.001349076965982767
PLD_Trend,0.0013121831879133118
USB_Trend,0.0011261355599690825
DJ_close,0.000978631197020066
EG_low,0.0009612959115078431
EU_open,0.0009585204235343707
USO_Open,0.0009414621841076046
OF_Open,0.0009056621743728701
USDI_Trend,0.0008692493734430458
PLD_Low,0.0008028023741968096
EU_Price,0.0007598518031510311
DJ_high,0.0006829313159918199
DJ_Ajclose,0.0006438512949980005
USO_High,0.0006145215588944376
OF_Trend,0.000497358233429503
EU_high,0.0004960945779965185
USO_Low,0.00047383726105194206
OS_Trend,0.00045414432998763
EU_Trend,0.00043806619422406275
USO_Close,0.00043293317159006256
OS_High,0.00039137758949935996
USO_Adj Close,0.00021026274954629118
